employee_id,name,department_id,role,work_mode,hours_per_week,productivity_score,years_of_experience
E0391,Jennifer Collins,3,Intern,Onsite,34.5,6.26,15.1
E0392,Gary Jackson,4,Executive,Remote,39.0,8.25,16.1
E0393,Ashley Hicks,1,Lead,Onsite,59.0,7.34,2.7
E0394,Hannah Luna,2,Analyst,Remote,39.9,4.47,9.0
E0395,Robin Young,3,Manager,Hybrid,51.7,5.14,5.4
E0396,Craig Morrison,6,Lead,Hybrid,31.2,4.44,16.1
E0397,Mary Thompson,5,Lead,Remote,44.4,9.22,6.7
E0398,Kathleen Webster,1,Executive,Remote,58.9,4.7,20.0
E0399,Joann Glass,4,Executive,Hybrid,48.1,5.23,18.3
E0400,Madison Weber,5,Analyst,Onsite,41.4,7.2,7.2
E0401,Lori Hernandez,3,Analyst,Hybrid,56.5,6.8,16.1
E0402,Jeremy Turner,6,Intern,Onsite,57.4,6.22,8.3
E0403,Anthony Romero,5,Executive,Hybrid,34.4,5.56,18.7
E0404,Jesse Brown,5,Intern,Onsite,34.6,5.98,7.6
E0405,Angela Lin,2,Intern,Hybrid,49.6,8.11,5.1
E0406,Lisa Hunter,4,Intern,Onsite,35.0,8.77,3.4
E0407,Julian Conner,6,Lead,Onsite,35.5,9.34,19.8
E0408,Joanna Pacheco,1,Lead,Remote,55.2,4.45,16.4
E0409,Erica Alvarez,1,Manager,Onsite,34.1,7.78,1.4
E0410,Antonio Garcia,2,Manager,Remote,45.2,6.24,12.4
E0411,Gwendolyn Klein,6,Lead,Onsite,49.8,4.09,10.6
E0412,Carrie Wright,4,Manager,Remote,45.9,5.65,19.5
E0413,Jeffrey Mills,1,Lead,Hybrid,50.2,8.84,18.2
E0414,Jake Campbell,1,Manager,Hybrid,34.5,5.15,10.5
E0415,George Harper,3,Analyst,Onsite,32.4,9.76,9.2
E0416,Maria Jones,2,Executive,Onsite,50.5,9.09,13.1
E0417,Michael Mitchell,6,Manager,Remote,42.2,6.26,9.5
E0418,Mary Escobar,6,Manager,Hybrid,35.1,7.0,8.7
E0419,Felicia Aguilar,3,Lead,Remote,56.8,9.51,4.6
E0420,Gregory Ponce,6,Lead,Onsite,38.1,9.54,13.7
E0421,Jenna Larson,3,Lead,Hybrid,49.7,5.08,17.0
E0422,Emily Bennett,1,Executive,Hybrid,34.3,8.92,16.4
E0423,Robin Santiago,1,Analyst,Remote,46.9,7.4,17.0
E0424,Nancy Jennings,6,Lead,Onsite,41.5,8.44,15.8
E0425,Maria Henderson,6,Manager,Hybrid,52.4,6.08,2.0
E0426,Jack White,2,Manager,Onsite,48.2,7.68,11.9
E0427,Travis Tucker,3,Manager,Hybrid,38.2,9.96,9.8
E0428,Chad Jones,3,Lead,Onsite,43.0,8.08,13.2
E0429,Ashley Wise,1,Lead,Onsite,53.9,8.28,1.6
E0430,Sophia Johnson,2,Intern,Hybrid,53.5,4.93,7.8
E0431,Ralph Anderson,3,Manager,Remote,30.2,5.85,7.2
E0432,Christopher Guerra,3,Manager,Remote,32.6,6.59,11.1
E0433,Rhonda Martin,5,Intern,Remote,30.8,6.12,1.9
E0434,Jason Rhodes,5,Analyst,Onsite,30.4,6.48,15.6
E0435,Jeremy Mitchell,6,Lead,Remote,47.2,5.02,7.6
E0436,Joann Ferguson,2,Analyst,Onsite,38.1,4.88,3.3
E0437,Robert Harrison,3,Intern,Onsite,44.5,4.46,5.0
E0438,Holly Valentine,2,Intern,Hybrid,48.5,6.75,2.7
E0439,Mrs. Diane Reyes,1,Intern,Onsite,55.2,6.28,17.2
E0440,Tracy Montoya,4,Analyst,Onsite,54.5,9.16,19.5
E0441,Brenda Wright,2,Analyst,Onsite,48.1,8.17,9.6
E0442,Shelly Spencer,2,Intern,Onsite,38.7,8.17,9.8
E0443,Ryan Rosales,5,Executive,Onsite,41.3,8.9,7.9
E0444,Phillip Nelson,1,Lead,Remote,47.8,7.27,13.6
E0445,Brittany Kim,5,Manager,Hybrid,43.8,8.25,8.8
E0446,Courtney Hayes,3,Manager,Onsite,50.2,4.84,6.1
E0447,Alexander Brown,3,Executive,Hybrid,42.7,6.26,9.0
E0448,Cynthia Vang,5,Intern,Hybrid,42.0,7.04,18.4
E0449,Alfred Galvan,6,Intern,Hybrid,31.1,9.81,14.0
E0450,Marie Moody,5,Lead,Hybrid,57.4,4.66,5.0
E0451,Dustin Gallegos,6,Analyst,Remote,49.4,4.27,19.7
E0452,Brenda Thornton,6,Intern,Onsite,59.0,6.58,0.2
E0453,Aaron Miller,3,Executive,Hybrid,52.4,7.35,13.8
E0454,Ruben Dunn,2,Intern,Onsite,41.7,8.63,11.8
E0455,Kelsey Rodriguez,5,Executive,Onsite,59.9,6.9,5.9
E0456,Eric Williams,1,Manager,Hybrid,34.3,5.87,9.1
E0457,Riley Bryant,2,Lead,Onsite,40.4,4.59,14.4
E0458,Taylor Carlson,4,Analyst,Remote,39.0,8.86,2.3
E0459,Jose Allen,3,Manager,Hybrid,54.0,9.58,14.8
E0460,Jeffrey Mendez,5,Executive,Hybrid,34.8,7.36,19.2
E0461,Jason Beck,2,Intern,Hybrid,35.5,7.84,8.6
E0462,William Jones,1,Lead,Remote,43.5,6.58,0.1
E0463,Katie Mcneil,2,Executive,Onsite,52.6,8.85,1.3
E0464,Jeanette Harrison,1,Lead,Remote,41.0,5.18,2.3
E0465,Veronica King,6,Intern,Hybrid,59.0,5.88,7.8
E0466,Richard Cooper,4,Lead,Remote,40.4,9.07,12.3
E0467,Lori Ingram,6,Analyst,Hybrid,47.7,8.03,6.3
E0468,Evelyn Williams,2,Analyst,Remote,35.5,8.16,10.2
E0469,Robin Thompson,4,Lead,Remote,47.2,6.54,9.7
E0470,Julie Dominguez,5,Executive,Hybrid,35.0,5.73,3.7
E0471,Robin Brown,4,Lead,Remote,56.0,9.71,9.7
E0472,Judith Carter,2,Intern,Hybrid,45.2,6.97,13.7
E0473,Curtis Williams,4,Intern,Onsite,35.0,7.39,15.9
E0474,Kaylee Hays,2,Analyst,Remote,38.2,7.23,3.4
E0475,Dawn Mullins,4,Lead,Hybrid,53.2,6.97,10.2
E0476,Howard Norman,5,Manager,Onsite,53.3,8.94,7.3
E0477,Evelyn Martinez,1,Intern,Hybrid,36.6,6.55,14.7
E0478,Steve Paul,6,Executive,Onsite,56.2,4.19,5.3
E0479,Jasmine Beltran,1,Intern,Remote,53.3,5.42,16.2
E0480,Jonathan Glass MD,5,Analyst,Hybrid,48.3,6.57,12.3
E0481,Monica Miller,2,Executive,Remote,47.1,7.19,11.9
E0482,Samantha Gardner,2,Analyst,Hybrid,38.8,7.44,19.0
E0483,Bobby Guerrero,5,Manager,Remote,58.9,8.71,18.4
E0484,Lance Simmons,3,Executive,Hybrid,56.0,5.5,14.2
E0485,Heather Williams,2,Intern,Onsite,34.3,7.79,12.6
E0486,Heather Bolton,4,Intern,Remote,49.0,9.28,1.9
E0487,William Gould,5,Analyst,Hybrid,58.1,6.21,19.0
E0488,Mark Cox,3,Lead,Remote,56.1,9.08,1.9
E0489,Meghan Cisneros,4,Analyst,Remote,53.9,6.39,19.4
E0490,Lawrence Harrington,2,Intern,Onsite,39.7,5.7,10.9
E0491,Austin Osborne,2,Lead,Onsite,53.6,9.36,15.2
E0492,James Bradley,1,Manager,Hybrid,53.5,6.76,2.5
E0493,Meghan Rush,2,Intern,Onsite,30.0,9.75,4.0
E0494,Phillip Berry,6,Executive,Hybrid,39.1,9.25,17.5
E0495,Jennifer Banks,1,Analyst,Onsite,32.5,7.99,13.0
E0496,Brian Fitzgerald,1,Intern,Hybrid,39.2,8.2,4.7
E0497,Mr. Justin Green III,6,Manager,Hybrid,32.9,5.28,1.6
E0498,Zachary Mitchell,5,Executive,Hybrid,50.4,4.06,13.9
E0499,Katherine Martinez,1,Intern,Hybrid,34.0,4.42,7.7
E0500,Jodi Roach,6,Manager,Remote,39.4,9.29,2.7
E0501,Brandon Fleming,2,Executive,Remote,45.9,4.05,13.0
E0502,Emma Reed,4,Analyst,Hybrid,36.4,8.49,18.4
E0503,Joshua Vance,5,Intern,Remote,32.6,4.6,15.0
E0504,Michelle Ho,5,Intern,Onsite,58.9,5.89,2.8
E0505,Rebecca Hicks,3,Manager,Remote,46.6,7.6,12.2
E0506,Curtis Taylor,6,Manager,Hybrid,56.3,5.23,12.1
E0507,Allison Spencer,2,Intern,Onsite,49.4,8.7,15.9
E0508,Robert Arnold,2,Intern,Onsite,33.4,7.0,11.9
E0509,Angelica Parker,5,Manager,Onsite,58.0,4.79,17.2
E0510,Dr. Kelly Hammond DVM,5,Intern,Onsite,46.4,5.04,9.4
E0511,William Day,1,Manager,Hybrid,32.0,5.57,0.8
E0512,Michael Cooper,1,Intern,Hybrid,38.6,8.28,15.3
E0513,Penny Bowman,4,Intern,Remote,49.2,7.23,3.1
E0514,Vincent Reynolds,1,Analyst,Remote,45.3,5.22,16.2
E0515,Amy Martinez,5,Analyst,Onsite,47.6,8.58,13.0
E0516,Christopher Morris,6,Manager,Onsite,51.0,8.38,16.9
E0517,Hannah Everett,1,Executive,Remote,57.7,4.7,12.2
E0518,Sarah King,1,Analyst,Hybrid,52.3,8.44,2.4
E0519,Krista Martinez,6,Executive,Hybrid,30.3,6.98,6.9
E0520,Joseph Shaw,5,Analyst,Remote,41.2,8.5,17.5
E0521,Todd Moore,6,Manager,Remote,40.1,6.58,10.5
E0522,Michelle Jacobs,3,Lead,Hybrid,32.3,6.73,7.2
E0523,Kristy Bryan,4,Lead,Remote,41.0,5.53,2.1
E0524,Angel May,5,Manager,Remote,52.2,4.02,17.2
E0525,Marilyn Wang,1,Executive,Remote,44.2,6.3,3.0
E0526,Mark Jimenez,1,Lead,Hybrid,52.2,6.52,6.4
E0527,Donna Frye,4,Analyst,Onsite,54.8,7.43,2.4
E0528,Dr. Michael Evans,6,Manager,Remote,36.7,7.09,0.9
E0529,Anthony Gonzales,4,Manager,Onsite,56.0,8.64,6.2
E0530,Mr. Lawrence Edwards,1,Lead,Onsite,30.2,5.2,11.3
E0531,Morgan Valencia,3,Lead,Remote,43.9,7.55,9.9
E0532,Bianca Wood,2,Lead,Remote,34.5,9.59,0.5
E0533,Emma Owens,5,Analyst,Hybrid,55.2,9.26,19.0
E0534,David Davis,1,Intern,Hybrid,51.8,4.62,10.6
E0535,James Gilbert,2,Intern,Onsite,58.8,9.84,2.8
E0536,Sean Moore,3,Manager,Remote,57.6,9.38,10.4
E0537,Kenneth Edwards,6,Analyst,Onsite,59.2,4.51,1.9
E0538,Kathleen Robertson,2,Intern,Remote,47.8,4.37,13.2
E0539,Mr. Alexander Landry MD,2,Executive,Onsite,37.8,5.89,16.0
E0540,Cindy Gomez,6,Analyst,Onsite,43.6,5.4,18.9
E0541,Johnny Khan,2,Lead,Remote,34.7,4.99,9.3
E0542,Julie Herrera,4,Manager,Hybrid,40.7,8.62,9.0
E0543,Jessica Khan,4,Analyst,Remote,32.7,8.85,6.1
E0544,Pamela Diaz,6,Lead,Remote,36.5,9.14,3.0
E0545,Kelly Lee,6,Executive,Onsite,41.9,4.29,6.0
E0546,Angel Gordon,2,Manager,Onsite,55.6,7.34,11.0
E0547,Diana Hays,1,Intern,Remote,54.1,4.84,0.2
E0548,Barbara Hester,2,Executive,Remote,54.7,6.23,12.6
E0549,Robert Morgan,6,Manager,Hybrid,47.6,9.5,1.5
E0550,Nicole Gonzalez,1,Executive,Hybrid,43.3,4.77,18.1
E0551,Kathryn Williams,3,Manager,Remote,58.3,4.3,18.5
E0552,Gary Wells,4,Intern,Onsite,30.9,8.1,3.5
E0553,Larry Robertson,2,Executive,Onsite,38.4,9.3,0.7
E0554,Louis Martin,5,Lead,Remote,49.4,6.99,17.7
E0555,Nancy Evans MD,4,Manager,Remote,38.4,4.82,4.0
E0556,Kim Erickson,5,Executive,Hybrid,59.8,7.26,0.4
E0557,Robert Richardson,4,Analyst,Onsite,46.3,6.91,18.3
E0558,Veronica Silva,5,Analyst,Onsite,38.1,4.16,11.9
E0559,Molly Watts,1,Analyst,Remote,54.3,6.83,7.1
E0560,John Coffey,5,Executive,Remote,33.0,7.94,5.3
E0561,Paula Lane,6,Manager,Remote,47.3,9.9,7.8
E0562,Lauren Jackson,2,Executive,Remote,47.8,8.84,14.0
E0563,Lisa Randall,5,Manager,Hybrid,51.0,9.69,11.3
E0564,Michael Johnson,5,Executive,Onsite,46.3,5.05,0.8
E0565,Ashley Smith,1,Executive,Hybrid,36.6,7.16,0.0
E0566,Christian Vaughn,5,Executive,Remote,40.2,5.06,16.0
E0567,Reginald Knapp,3,Manager,Remote,34.4,8.23,2.8
E0568,Nancy Brown,1,Lead,Onsite,58.8,6.24,18.8
E0569,Daniel Nguyen,4,Lead,Remote,40.1,5.94,19.5
E0570,Kelly Edwards,6,Intern,Hybrid,58.8,7.9,3.5
E0571,Thomas Peterson,5,Lead,Onsite,36.7,7.53,3.5
E0572,Raymond Le,3,Analyst,Remote,35.3,4.01,14.0
E0573,Melissa Bishop,5,Intern,Hybrid,31.0,7.61,18.4
E0574,David Grant,5,Executive,Hybrid,47.0,9.62,2.8
E0575,William Evans,6,Manager,Remote,40.4,5.92,12.7
E0576,Daniel Bush,1,Analyst,Onsite,30.3,5.26,13.9
E0577,Gregory Peck,3,Analyst,Remote,51.6,4.29,8.8
E0578,Denise Martinez,4,Executive,Onsite,44.8,6.27,10.9
E0579,Jamie Baird,1,Intern,Hybrid,49.5,8.12,3.3
E0580,Tina Ballard,1,Manager,Onsite,30.6,5.57,2.1
E0581,Dwayne Klein,3,Executive,Onsite,34.8,4.45,18.8
E0582,Jeremy Scott,1,Analyst,Hybrid,59.6,9.36,14.1
E0583,Dale Ryan,4,Executive,Hybrid,56.7,4.94,2.0
E0584,Melissa Taylor,2,Executive,Onsite,50.9,8.33,14.6
E0585,Laurie Sanchez,3,Analyst,Onsite,37.1,4.3,11.4
E0586,Kiara Little,4,Executive,Remote,40.8,6.57,5.9
E0587,Jason Love,6,Lead,Onsite,36.0,4.15,3.4
E0588,Randy Smith,3,Manager,Onsite,55.3,5.85,7.9
E0589,Tanya Russell,4,Analyst,Remote,49.3,6.33,7.4
E0590,Sherry Woods,4,Analyst,Remote,43.4,5.58,9.3
E0591,Victor Morris,2,Analyst,Hybrid,31.8,8.51,13.3
E0592,Susan Davis,1,Analyst,Hybrid,42.4,8.54,4.6
E0593,Kimberly Sharp,1,Intern,Hybrid,42.6,7.21,17.3
E0594,Susan Thompson,4,Lead,Remote,44.3,4.47,18.1
E0595,Casey Gillespie,6,Manager,Hybrid,47.1,7.1,11.4
E0596,Jennifer Simpson DVM,5,Executive,Remote,58.5,6.69,19.0
E0597,Tammy Mcdowell,2,Executive,Remote,33.8,6.54,19.8
E0598,Keith Rodriguez,4,Executive,Hybrid,34.4,7.57,6.4
E0599,Mrs. Virginia Daniels,6,Manager,Remote,41.6,6.38,6.5
E0600,Todd Rosales MD,3,Lead,Onsite,57.5,4.07,14.0
E0601,Brian Martin,5,Lead,Onsite,33.4,4.9,11.3
E0602,David Lopez,5,Manager,Remote,46.9,4.61,5.7
E0603,Rachel Bradley,5,Analyst,Onsite,37.9,7.93,11.4
E0604,Casey Chase,4,Manager,Remote,38.3,4.86,12.2
E0605,Samantha Robertson,6,Intern,Remote,41.9,9.27,13.8
E0606,Michael Lopez,1,Intern,Onsite,56.9,4.12,16.3
E0607,Franklin Wright,3,Analyst,Onsite,55.3,9.15,13.7
E0608,David Molina,2,Executive,Onsite,59.2,6.66,16.5
E0609,Elizabeth Sharp,3,Intern,Hybrid,49.4,5.13,4.2
E0610,Matthew Schwartz,4,Intern,Hybrid,56.0,8.93,10.3
E0611,Bryan Parker,2,Manager,Onsite,51.3,6.42,15.6
E0612,Jonathan Jacobson,5,Lead,Remote,35.2,9.25,4.0
E0613,Emily Wilson,1,Executive,Remote,43.7,9.51,14.1
E0614,Elizabeth Mendez,3,Analyst,Onsite,45.2,7.81,2.5
E0615,Casey Hernandez,1,Executive,Onsite,44.7,6.68,19.2
E0616,Lisa Perry,4,Lead,Hybrid,40.5,4.98,17.9
E0617,Kaitlin Medina,6,Manager,Onsite,30.8,4.3,17.1
E0618,Colleen Wright,2,Executive,Hybrid,36.8,5.24,13.0
E0619,Shelley Miller,5,Manager,Hybrid,30.3,9.47,12.9
E0620,Michael Miller,5,Manager,Remote,37.6,8.83,6.1
E0621,Amy Kelley,6,Analyst,Onsite,56.9,9.11,9.2
E0622,Laura Hernandez,2,Intern,Onsite,50.3,8.95,7.9
E0623,Joseph Wilson,1,Manager,Hybrid,60.0,9.8,16.8
E0624,Kevin Davis,5,Lead,Hybrid,38.5,8.11,9.6
E0625,Rhonda Chavez,3,Analyst,Hybrid,39.8,5.66,13.1
E0626,Joyce Brown,6,Analyst,Remote,34.5,8.59,18.0
E0627,Robert Cummings,5,Intern,Hybrid,39.6,4.84,0.5
E0628,Robert Reese,4,Analyst,Onsite,57.2,6.43,14.7
E0629,Amber Cooper,5,Lead,Remote,40.3,8.28,13.7
E0630,Zachary Michael,6,Intern,Hybrid,40.8,5.8,3.4
E0631,Timothy Johnson,6,Lead,Remote,38.8,6.82,14.8
E0632,Randy Cannon,6,Lead,Remote,58.4,9.4,13.1
E0633,Maria Fisher,2,Analyst,Remote,52.3,5.84,15.8
E0634,Janet Kane DVM,3,Analyst,Onsite,47.6,6.78,2.4
E0635,Michael Stanley,1,Lead,Hybrid,58.3,4.43,17.8
E0636,Martha Bailey,5,Manager,Hybrid,41.5,5.79,1.1
E0637,Joshua Rice,2,Executive,Remote,40.3,9.92,17.9
E0638,Courtney Smith,4,Executive,Onsite,55.9,5.08,1.6
E0639,Edwin Nunez,3,Executive,Onsite,49.0,4.03,5.5
E0640,Kim Morrow,2,Lead,Remote,44.7,8.58,1.8
E0641,Gregory Hill,5,Intern,Hybrid,42.9,6.57,9.5
E0642,Molly Rodriguez,1,Manager,Hybrid,36.0,6.24,0.3
E0643,Jennifer Miranda,3,Lead,Remote,30.5,4.02,14.7
E0644,Alexis Harris,2,Analyst,Onsite,33.9,6.3,11.8
E0645,Andrew Harper,2,Manager,Remote,38.9,5.74,14.6
E0646,Amber Yang,5,Lead,Onsite,43.0,8.12,2.7
E0647,David Robinson,4,Analyst,Remote,34.9,9.44,16.2
E0648,Amy Gordon,1,Executive,Remote,51.8,4.79,14.7
E0649,Robert Dennis,5,Lead,Remote,33.7,8.27,15.8
E0650,Kyle Chambers,4,Analyst,Hybrid,48.7,7.56,1.0
E0651,Eric Thomas,1,Manager,Remote,50.7,6.5,7.6
E0652,Connie Turner,5,Analyst,Onsite,51.1,5.23,13.7
E0653,Travis Hobbs,1,Analyst,Onsite,49.8,7.97,5.4
E0654,Lori Simmons,5,Executive,Onsite,54.9,4.63,14.4
E0655,William David DDS,1,Analyst,Remote,53.5,6.99,12.2
E0656,Emma Butler,3,Lead,Remote,40.7,6.46,3.2
E0657,James Webster,5,Intern,Remote,50.6,6.88,4.7
E0658,Samuel Turner,1,Manager,Remote,55.1,8.01,3.0
E0659,Renee Melendez,1,Lead,Remote,51.7,4.61,5.1
E0660,Tracy Grant,2,Intern,Onsite,37.9,4.3,16.3
E0661,David Harris,1,Analyst,Onsite,54.0,5.88,14.8
E0662,Tammy Boone,1,Manager,Remote,55.6,7.98,3.4
E0663,Nathaniel Lee,3,Intern,Hybrid,38.0,8.4,7.5
E0664,Michael Morrison,3,Executive,Remote,42.0,9.77,5.4
E0665,Chelsea Gill,4,Intern,Onsite,49.5,8.78,2.3
E0666,Kristin Mendoza,6,Manager,Remote,33.1,9.47,9.7
E0667,Felicia Krueger,5,Intern,Remote,48.3,8.67,12.2
E0668,Timothy Hayden,6,Executive,Onsite,57.6,4.68,8.2
E0669,Zachary Mendoza,1,Manager,Onsite,49.6,4.07,17.4
E0670,Larry Harris,5,Lead,Hybrid,47.0,9.87,13.4
E0671,Kristen Rowe,3,Lead,Hybrid,50.6,7.71,8.7
E0672,Joseph Howard,6,Executive,Onsite,40.4,8.06,7.7
E0673,Jose Crawford,5,Lead,Remote,30.3,9.61,10.1
E0674,William Harrison,4,Intern,Remote,32.2,6.95,4.8
E0675,Suzanne Wood,3,Manager,Hybrid,36.7,7.86,8.1
E0676,Justin Walker,2,Manager,Onsite,43.3,7.44,1.8
E0677,Dean Donovan,4,Intern,Onsite,33.6,6.98,13.1
E0678,Jennifer Hernandez,1,Intern,Onsite,31.1,7.29,16.5
E0679,James Whitaker,5,Lead,Hybrid,39.1,7.05,4.1
E0680,Mr. Michael Scott PhD,6,Intern,Onsite,40.9,4.33,4.5
E0681,Maria Henry,4,Analyst,Hybrid,53.0,7.6,14.3
E0682,Robert Jackson,3,Intern,Remote,32.9,7.95,0.0
E0683,Katherine Stark,3,Analyst,Hybrid,45.7,8.21,0.9
E0684,Maria Brown,2,Intern,Remote,54.7,8.46,8.2
E0685,Ryan Landry,3,Lead,Remote,35.6,9.58,7.9
E0686,Pamela Gutierrez,4,Executive,Hybrid,40.1,8.54,0.9
E0687,Crystal Mann,6,Lead,Remote,53.2,6.7,13.2
E0688,Jonathan Brooks,5,Executive,Onsite,30.1,8.42,11.1
E0689,Mary Jensen,4,Lead,Onsite,57.7,8.69,18.2
E0690,Mr. Aaron Arnold,6,Lead,Remote,51.9,4.77,7.7
E0691,Joseph Hill,5,Lead,Onsite,45.1,6.31,19.6
E0692,Alicia Li,6,Executive,Onsite,41.9,6.06,5.9
E0693,Renee Browning,2,Executive,Onsite,48.1,9.32,10.2
E0694,Brent Hernandez,6,Lead,Onsite,51.4,9.61,12.7
E0695,Joseph Ochoa,2,Executive,Hybrid,51.4,8.12,18.4
E0696,James Watson,2,Executive,Hybrid,46.3,7.82,14.2
E0697,Karl Branch,3,Lead,Onsite,47.5,9.66,14.2
E0698,Michael Abbott,6,Lead,Onsite,56.3,6.53,0.3
E0699,Shannon Malone,1,Manager,Onsite,34.4,8.02,4.0
E0700,James Tran,2,Analyst,Hybrid,37.5,9.04,13.8
E0701,Adam Jackson,3,Executive,Hybrid,31.0,8.88,2.0
E0702,Mr. Richard Knight PhD,6,Lead,Remote,52.3,7.37,4.8
E0703,Joseph Williams,6,Analyst,Hybrid,49.9,9.56,7.8
E0704,Sean Clay,6,Analyst,Hybrid,31.6,8.46,4.1
E0705,Anthony Jones,4,Executive,Hybrid,51.1,7.89,15.1
E0706,Stephanie Elliott,5,Lead,Remote,53.3,9.79,5.9
E0707,Timothy Edwards,2,Manager,Remote,58.9,8.41,2.4
E0708,Laurie Goodwin,1,Intern,Onsite,46.7,4.78,11.7
E0709,Jennifer Jones,3,Manager,Onsite,44.0,9.62,0.8
E0710,David Davenport,3,Lead,Remote,53.2,7.75,16.9
E0711,Steven Rivera,3,Intern,Hybrid,46.5,4.44,14.2
E0712,Brenda Hinton,5,Executive,Remote,45.6,8.72,3.2
E0713,Kathryn Mccann,5,Lead,Onsite,32.8,5.33,4.3
E0714,Jeffrey Roberson,3,Analyst,Onsite,38.8,9.7,12.4
E0715,Randy Friedman,4,Lead,Hybrid,30.3,8.01,8.9
E0716,Raymond Johnson,6,Lead,Hybrid,37.3,4.24,17.7
E0717,Willie Henry,4,Manager,Onsite,37.7,8.34,0.5
E0718,Todd Reynolds,5,Analyst,Hybrid,54.1,6.67,0.9
E0719,Mary Miller,6,Executive,Onsite,45.4,9.69,3.3
E0720,Rebecca Marquez,5,Lead,Remote,48.8,5.26,12.6
E0721,Christian Dawson,2,Intern,Remote,36.2,8.97,17.6
E0722,Nancy Stewart,6,Intern,Hybrid,54.5,4.43,13.7
E0723,Aaron Parker,1,Intern,Hybrid,40.0,4.53,1.1
E0724,Derrick Anderson,3,Lead,Remote,47.2,5.37,5.2
E0725,Jerry Peters,4,Intern,Hybrid,42.1,5.9,7.8
E0726,Alexander Gomez,1,Lead,Remote,49.2,7.71,15.1
E0727,Kyle Nguyen,5,Manager,Hybrid,55.4,6.15,10.1
E0728,Edgar Hughes,3,Analyst,Hybrid,32.6,8.59,8.8
E0729,Steven Stein,4,Manager,Onsite,34.7,5.32,14.9
E0730,Laura Jackson,5,Analyst,Hybrid,34.3,8.06,18.3
E0731,Charles Turner,6,Analyst,Remote,46.6,7.33,2.5
E0732,Arthur Hamilton MD,1,Lead,Hybrid,41.8,7.29,1.7
E0733,Mr. David Wright,2,Analyst,Remote,42.4,7.88,10.3
E0734,Linda Gonzalez,2,Executive,Remote,48.5,5.52,2.3
E0735,Eric Rush,6,Lead,Remote,55.5,9.59,19.9
E0736,Manuel Brock,4,Lead,Remote,38.7,4.4,2.0
E0737,George Ochoa,6,Lead,Onsite,58.5,6.14,13.4
E0738,Valerie Taylor,2,Manager,Onsite,48.6,9.4,6.4
E0739,Travis Harris,4,Analyst,Hybrid,49.8,8.16,3.0
E0740,Vincent Novak,5,Analyst,Onsite,58.8,5.01,6.3
E0741,Michael Henry,2,Intern,Onsite,55.2,4.81,14.7
E0742,Dana Bennett,4,Intern,Onsite,40.8,5.83,11.0
E0743,Jenna Wilson,2,Lead,Remote,55.3,9.15,2.8
E0744,Leslie Gardner,5,Executive,Onsite,52.0,7.76,14.5
E0745,Krista Benton,1,Lead,Hybrid,30.9,7.49,8.1
E0746,Michael Gonzales,5,Executive,Remote,46.5,7.26,20.0
E0747,Michael Fuentes,4,Executive,Onsite,41.8,9.35,11.8
E0748,Jennifer Porter,3,Executive,Onsite,45.0,4.54,7.3
E0749,Dana Hopkins,1,Executive,Hybrid,50.5,8.54,2.8
E0750,Rachel Jones,2,Executive,Hybrid,58.5,7.96,19.4
E0751,Karen Morales DDS,6,Intern,Onsite,31.2,8.57,4.6
E0752,Melissa Stephens,3,Analyst,Remote,31.3,5.24,18.2
E0753,Heather Woodard,3,Intern,Onsite,57.5,9.29,0.8
E0754,Margaret Miller,6,Analyst,Remote,51.1,7.13,16.6
E0755,Mary Kelly,6,Analyst,Hybrid,46.3,5.04,13.1
E0756,Amanda Terrell,3,Lead,Hybrid,56.9,4.47,5.0
E0757,Jennifer Goodwin,2,Lead,Onsite,40.6,9.21,9.7
E0758,Jessica Smith,4,Lead,Remote,45.1,4.83,3.3
E0759,Jorge Stone,1,Lead,Hybrid,38.4,4.9,3.1
E0760,Laura Griffin,5,Manager,Hybrid,36.9,8.87,14.4
E0761,Raymond Chapman,4,Intern,Onsite,36.3,4.97,16.7
E0762,Haley Johnson,1,Executive,Remote,33.8,7.55,2.7
E0763,Jason Nixon,5,Manager,Hybrid,34.4,5.0,18.4
E0764,Todd Thomas,5,Intern,Hybrid,59.1,7.83,17.6
E0765,Jesse Clark,6,Analyst,Remote,36.5,7.64,9.4
E0766,Mr. Jeffrey Horton,4,Executive,Remote,54.9,7.61,15.9
E0767,Eric Patrick,2,Lead,Hybrid,45.3,5.01,13.7
E0768,Samuel Wong,4,Lead,Hybrid,32.1,6.27,2.6
E0769,Carly Riggs,1,Executive,Hybrid,55.8,7.03,8.4
E0770,Christopher Moore,2,Lead,Remote,35.3,9.41,12.0
E0771,Tina Hall,5,Lead,Remote,32.8,7.96,18.0
E0772,Cody Davidson,5,Manager,Hybrid,49.5,7.13,7.4
E0773,Allen Mendez,1,Lead,Onsite,36.9,8.81,15.8
E0774,Kevin Price,4,Analyst,Hybrid,54.1,9.45,16.7
E0775,Christine Goodwin,5,Manager,Onsite,34.0,6.86,4.7
E0776,Amy Garcia,1,Analyst,Hybrid,56.3,6.45,3.8
E0777,Chelsea Nguyen,6,Manager,Hybrid,45.7,7.12,7.5
E0778,Dennis Huffman,2,Analyst,Onsite,40.9,4.93,13.0
E0779,Margaret Harper,3,Analyst,Hybrid,42.7,6.19,5.5
E0780,Laurie Bailey,6,Intern,Remote,42.4,8.7,9.6
E0781,Lisa Cervantes,3,Lead,Hybrid,44.5,9.93,11.6
